frame,label,confidence,x1,y1,x2,y2
1,a matchstick,0.27,185,412,201,642
1,a monitor,0.34,1,6,381,851
2,a matchstick,0.25,171,414,186,642
2,a monitor,0.4,-1,2,378,849
3,a matchstick,0.25,147,411,162,642
3,a monitor,0.41,-1,5,377,851
4,a monitor,0.16,-1,6,378,855
4,a monitor,0.2,0,12,379,854
4,a matchstick,0.12,315,323,335,525
4,a matchstick,0.21,119,411,136,641
5,a monitor,0.39,-1,11,378,858
5,a matchstick,0.21,70,411,87,641
6,a monitor,0.18,-1,13,379,860
6,a matchstick,0.18,28,407,44,645
7,a monitor,0.18,181,314,349,533
7,a monitor,0.4,0,-5,380,839
8,a monitor,0.2,151,314,352,536
8,a monitor,0.41,1,-2,381,841
9,a monitor,0.31,2,4,383,849
9,a monitor,0.26,124,311,357,543
10,a monitor,0.17,103,311,356,541
10,a monitor,0.4,2,-2,383,843
11,a monitor,0.2,80,306,366,543
11,a monitor,0.36,1,-4,382,840
12,a monitor,0.2,61,302,367,545
12,a monitor,0.37,0,-4,381,840
12,a gaming console,0.1,1,726,379,841
13,a monitor,0.16,45,296,371,547
13,a monitor,0.37,0,-3,381,842
14,a monitor,0.15,38,295,374,547
14,a monitor,0.4,0,-2,380,843
15,a monitor,0.14,29,294,372,547
15,a monitor,0.38,0,-2,381,843
16,a monitor,0.13,25,294,368,546
16,a monitor,0.39,0,-1,380,844
16,a gaming console,0.11,1,741,381,844
17,a monitor,0.12,24,295,362,541
17,a monitor,0.39,0,0,380,845
